COLOR,SOL,SEQ_ID,FEATURE,LTST,INCIDENCE_ANGLE,EMISSION_ANGLE,SOLAR_ELEVATION,SOLAR_AZIMUTH,INSTRUMENT,L6,L0B,R0B,L5,L0G,R0G,L4,L0R,R0R,L3,L2,L1,R1,R2,R3,R4,R5,R6,L6_STD,L0B_STD,R0B_STD,L5_STD,L0G_STD,R0G_STD,L4_STD,L0R_STD,R0R_STD,L3_STD,L2_STD,L1_STD,R1_STD,R2_STD,R3_STD,R4_STD,R5_STD,R6_STD,L6_COUNT,L0B_COUNT,R0B_COUNT,L5_COUNT,L0G_COUNT,R0G_COUNT,L4_COUNT,L0R_COUNT,R0R_COUNT,L3_COUNT,L2_COUNT,L1_COUNT,R1_COUNT,R2_COUNT,R3_COUNT,R4_COUNT,R5_COUNT,R6_COUNT,AZIMUTH_ANGLE,FORMAT_VERSION,CALTARGET_ELEMENT,FILE_TIMESTAMP
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.75293182,0.75212807,0.74871855,0.75858291,0.75212807,0.74871855,0.75461589,0.75212807,0.74871855,0.74756772,0.73698115,0.72494937,0.72201062,0.70512462,0.69360513,0.6847604,0.66864512,0.65760928,0.0035542326,0.0049682491,0.0041107073,0.0037234465,0.0049682491,0.0041107073,0.0043464381,0.0049682491,0.0041107073,0.0038466193,0.0033051643,0.0027546327,0.0023056958,0.0024073179,0.002129057,0.0019568884,0.001860968,0.0016076627,652,653,653,653,653,653,653,653,653,653,653,653,652,653,653,653,653,653,76.46368,1.0 2021-09-20,LIGHT_GRAY_RING,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,1.0010158,1.0201829,1.0230519,1.0131224,1.0201829,1.0230519,1.0188277,1.0201829,1.0230519,1.0212876,1.0199816,1.0181098,1.0211955,1.0255554,1.0246289,1.0234575,1.0223378,1.0218632,0.0053747957,0.0058722564,0.0052653322,0.0057095668,0.0058722564,0.0052653322,0.005077191,0.0058722564,0.0052653322,0.0041356458,0.0034550646,0.0031807497,0.0027405085,0.0031625282,0.0028058375,0.0027752465,0.0027669556,0.0019973976,2524,2524,2501,2524,2524,2501,2524,2524,2501,2523,2524,2524,2501,2501,2501,2501,2501,2501,76.46368,1.0 2021-09-20,WHITE_RING,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.10913303,0.089670809,0.089493574,0.099436247,0.089670809,0.089493574,0.091090111,0.089670809,0.089493574,0.086709752,0.095826955,0.10467088,0.10430759,0.14627234,0.18552328,0.20654553,0.22460128,0.22444176,0.00054001991,0.0010655758,0.0010171444,0.00075932539,0.0010655758,0.0010171444,0.0010418938,0.0010655758,0.0010171444,0.001047017,0.00088501348,0.00081811524,0.00073986126,0.00067077008,0.00061900832,0.0006027626,0.00058712048,0.00056383908,50,50,58,50,50,58,50,50,58,50,50,50,58,58,58,58,58,58,76.46368,1.0 2021-09-20,BLACK_RING_SHADOW,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.46368,1.0 2021-09-20,DARK_GRAY_RING_SHADOW,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.7549231,0.75343177,0.75454346,0.76099181,0.75343177,0.75454346,0.75626256,0.75343177,0.75454346,0.74836328,0.73747295,0.72540437,0.72659262,0.70953575,0.69791877,0.68899159,0.6727279,0.66155747,0.00080422754,0.0015774517,0.0016445328,0.0012070927,0.0015774517,0.0016445328,0.0013883746,0.0015774517,0.0016445328,0.0013805506,0.0012464374,0.0011562871,0.0011841509,0.0010488255,0.00098229558,0.00087146896,0.00079405471,0.000749256,152,152,156,152,152,156,152,152,156,152,152,152,156,156,156,156,156,156,76.46368,1.0 2021-09-20,LIGHT_GRAY_RING_SHADOW,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.46368,1.0 2021-09-20,WHITE_RING_SHADOW,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,1.0007888,1.019992,1.0230519,1.0129289,1.019992,1.0230519,1.0186381,1.019992,1.0230519,1.0210974,1.0198024,1.0179342,1.0211955,1.0255554,1.0246289,1.0234575,1.0223378,1.0218632,0.00064558476,0.0016003385,0.0017441359,0.0013124058,0.0016003385,0.0017441359,0.001700063,0.0016003385,0.0017441359,0.0015126615,0.0011922748,0.0010928313,0.0010855202,0.0010605167,0.0010142235,0.00098565455,0.00095086124,0.0007710382,883,883,916,883,883,916,883,883,916,883,883,883,916,916,916,916,916,916,76.46368,1.0 2021-09-20,BLACK_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.13128696,0.53737716,0.53512547,0.12699866,0.53737716,0.53512547,0.2973675,0.53737716,0.53512547,0.75090059,0.84208983,0.83903164,0.8374945,0.83803569,0.84001849,0.8457351,0.84837361,0.8387447,0.0021768351,0.0028883837,0.0025549899,0.0023234318,0.0028883837,0.0025549899,0.0023916453,0.0028883837,0.0025549899,0.0020866034,0.0017452315,0.0014260368,0.0014295362,0.0015100456,0.0013287073,0.0012439241,0.001175763,0.00095544775,908,908,909,908,908,909,908,908,909,908,908,906,909,909,909,909,909,909,76.46368,1.0 2021-09-20,DARK_GRAY_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.18183494,0.18529062,0.18069234,0.34413411,0.18529062,0.18069234,0.18669545,0.18529062,0.18069234,0.18257934,0.23825512,0.23185792,0.22829241,0.32130612,0.49920373,0.63637154,0.7052427,0.6975908,0.0048564748,0.0046537049,0.004208085,0.0043292365,0.0046537049,0.004208085,0.0036075162,0.0046537049,0.004208085,0.0027621891,0.0022416053,0.0019966708,0.0019722095,0.0023616293,0.0020470046,0.0019209789,0.0018717028,0.0015160824,883,883,882,883,883,882,883,883,882,883,883,883,884,884,884,884,884,884,76.46368,1.0 2021-09-20,LIGHT_GRAY_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
black,72,ZCAM03012,caltarget,11:07:39,14.068892,58.241436,75.9311,62.1346,ZCAM,0.48341502,0.17917802,0.17477117,0.34050258,0.17917802,0.17477117,0.17588474,0.17917802,0.17477117,0.17287408,0.22093407,0.21685378,0.21342811,0.30451111,0.49358923,0.64543337,0.72053054,0.70818626,0.011144069,0.0062713733,0.0061036234,0.0080651979,0.0062713733,0.0061036234,0.0057781015,0.0062713733,0.0061036234,0.0043051043,0.003805826,0.0033284945,0.0032978264,0.0034944599,0.0032753843,0.0029613383,0.0027914424,0.0022017886,909,909,916,909,909,916,909,909,916,909,909,909,916,916,916,916,916,916,76.46368,1.0 2021-09-20,WHITE_SECONDARY_HORIZONTAL,2023-02-16T20:36:20.060454
